ID,Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC
7907,https://www.zillow.com/homedetails/4141-N-31st-St-UNIT-208-Phoenix-AZ-85016/7802543_zpid/,,225000,11/9/2021,1018,sqft,221.02,103,sqft,2,2,4141 N 31st St UNIT 208,Phoenix,85016,AZ,USA,1
7908,https://www.zillow.com/homedetails/4141-N-31st-St-UNIT-326-Phoenix-AZ-85016/7802580_zpid/,,225000,9/24/2021,1018,sqft,221.02,101,sqft,2,2,4141 N 31st St UNIT 326,Phoenix,85016,AZ,USA,1
7909,https://www.zillow.com/homedetails/1820-E-Morten-Ave-UNIT-128-Phoenix-AZ-85020/7806709_zpid/,,225000,1/10/2022,724,sqft,310.77,782,sqft,1,1,1820 E Morten Ave UNIT 128,Phoenix,85020,AZ,USA,1
7910,https://www.zillow.com/homedetails/6739-N-16th-St-UNIT-16-Phoenix-AZ-85016/7807729_zpid/,,225000,4/12/2022,783,sqft,287.36,1084,sqft,2,1,6739 N 16th St UNIT 16,Phoenix,85016,AZ,USA,1
7911,https://www.zillow.com/homedetails/4554-E-Paradise-Village-Pkwy-N-UNIT-144-Phoenix-AZ-85032/7823347_zpid/,,225000,12/14/2023,685,sqft,328.47,739,sqft,1,1,4554 E Paradise Village Pkwy N UNIT 144,Phoenix,85032,AZ,USA,1
7912,https://www.zillow.com/homedetails/4444-E-Paradise-Village-Pkwy-N-UNIT-273-Phoenix-AZ-85032/7823583_zpid/,,225000,2/23/2022,685,sqft,328.47,76,sqft,1,1,4444 E Paradise Village Pkwy N UNIT 273,Phoenix,85032,AZ,USA,1
7913,https://www.zillow.com/homedetails/1916-W-Morningside-Dr-UNIT-69-Phoenix-AZ-85023/7957943_zpid/,,225000,3/27/2023,1144,sqft,196.68,1126,sqft,3,2,1916 W Morningside Dr UNIT 69,Phoenix,85023,AZ,USA,1
7914,https://www.zillow.com/homedetails/409-W-Blackhawk-Dr-UNIT-5-Phoenix-AZ-85027/7967094_zpid/,,225000,4/21/2021,994,sqft,226.36,1188,sqft,2,2,409 W Blackhawk Dr UNIT 5,Phoenix,85027,AZ,USA,1
7915,https://www.zillow.com/homedetails/19601-N-7th-St-UNIT-2032-Phoenix-AZ-85024/7996962_zpid/,,225000,8/17/2023,856,sqft,262.85,495,sqft,2,1,19601 N 7th St UNIT 2032,Phoenix,85024,AZ,USA,1
7916,https://www.zillow.com/homedetails/19601-N-7th-St-UNIT-1107-Phoenix-AZ-85024/7997038_zpid/,,225000,3/16/2022,817,sqft,275.4,495,sqft,2,2,19601 N 7th St UNIT 1107,Phoenix,85024,AZ,USA,1
7917,https://www.zillow.com/homedetails/16402-N-31st-St-UNIT-107-Phoenix-AZ-85032/8005939_zpid/,,225000,,934,sqft,240.9,99,sqft,2,2,16402 N 31st St UNIT 107,Phoenix,85032,AZ,USA,1
7918,https://www.zillow.com/homedetails/15402-N-28th-St-UNIT-222-Phoenix-AZ-85032/8007835_zpid/,,225000,3/9/2023,946,sqft,237.84,99,sqft,2,2,15402 N 28th St UNIT 222,Phoenix,85032,AZ,USA,1
7919,https://www.zillow.com/homedetails/15402-N-28th-St-UNIT-228-Phoenix-AZ-85032/8007841_zpid/,,225000,1/7/2022,946,sqft,237.84,73,sqft,2,2,15402 N 28th St UNIT 228,Phoenix,85032,AZ,USA,1
7920,https://www.zillow.com/homedetails/10610-S-48th-St-UNIT-1039-Phoenix-AZ-85044/8258572_zpid/,,225000,7/27/2022,675,sqft,333.33,606,sqft,1,1,10610 S 48th St UNIT 1039,Phoenix,85044,AZ,USA,1
