"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US04013082017","Census Tract 820.17; Maricopa County; Arizona","77328","16514",
"1400000US04013082018","Census Tract 820.18; Maricopa County; Arizona","76531","3822",
"1400000US04013082019","Census Tract 820.19; Maricopa County; Arizona","106058","20333",
"1400000US04013082020","Census Tract 820.20; Maricopa County; Arizona","107969","19127",
"1400000US04013082021","Census Tract 820.21; Maricopa County; Arizona","109698","14081",
"1400000US04013082022","Census Tract 820.22; Maricopa County; Arizona","58534","8308",
"1400000US04013082023","Census Tract 820.23; Maricopa County; Arizona","94206","6242",
"1400000US04013082024","Census Tract 820.24; Maricopa County; Arizona","63750","21572",
"1400000US04013082025","Census Tract 820.25; Maricopa County; Arizona","99335","18795",
"1400000US04013082026","Census Tract 820.26; Maricopa County; Arizona","97662","8741",
"1400000US04013082027","Census Tract 820.27; Maricopa County; Arizona","83698","29756",
"1400000US04013082028","Census Tract 820.28; Maricopa County; Arizona","61070","6125",
"1400000US04013082204","Census Tract 822.04; Maricopa County; Arizona","90357","12949",
"1400000US04013082205","Census Tract 822.05; Maricopa County; Arizona","85651","4789",
"1400000US04013082206","Census Tract 822.06; Maricopa County; Arizona","90641","10042",
"1400000US04013082207","Census Tract 822.07; Maricopa County; Arizona","98750","22484",
"1400000US04013082208","Census Tract 822.08; Maricopa County; Arizona","70590","6195",
"1400000US04013082209","Census Tract 822.09; Maricopa County; Arizona","49202","9795",
"1400000US04013082210","Census Tract 822.10; Maricopa County; Arizona","76682","17048",
"1400000US04013082211","Census Tract 822.11; Maricopa County; Arizona","108774","14809",
"1400000US04013082212","Census Tract 822.12; Maricopa County; Arizona","94635","15146",
"1400000US04013082213","Census Tract 822.13; Maricopa County; Arizona","106679","31572",
"1400000US04013083000","Census Tract 830; Maricopa County; Arizona","47875","9817",
"1400000US04013092305","Census Tract 923.05; Maricopa County; Arizona","62500","25230",
"1400000US04013092306","Census Tract 923.06; Maricopa County; Arizona","74357","9508",
"1400000US04013092307","Census Tract 923.07; Maricopa County; Arizona","64045","26575",
"1400000US04013092308","Census Tract 923.08; Maricopa County; Arizona","60397","8762",
"1400000US04013092309","Census Tract 923.09; Maricopa County; Arizona","96875","9074",
"1400000US04013092311","Census Tract 923.11; Maricopa County; Arizona","30857","4816",
"1400000US04013092312","Census Tract 923.12; Maricopa County; Arizona","48988","4042",
"1400000US04013092401","Census Tract 924.01; Maricopa County; Arizona","45278","8960",
"1400000US04013092402","Census Tract 924.02; Maricopa County; Arizona","40231","10088",
"1400000US04013092500","Census Tract 925; Maricopa County; Arizona","46614","8035",
"1400000US04013092600","Census Tract 926; Maricopa County; Arizona","45100","12159",
"1400000US04013092705","Census Tract 927.05; Maricopa County; Arizona","61585","2526",
"1400000US04013092708","Census Tract 927.08; Maricopa County; Arizona","65976","7431",
"1400000US04013092709","Census Tract 927.09; Maricopa County; Arizona","80694","30728",
"1400000US04013092710","Census Tract 927.10; Maricopa County; Arizona","105698","16203",
"1400000US04013092711","Census Tract 927.11; Maricopa County; Arizona","76548","14686",
"1400000US04013092712","Census Tract 927.12; Maricopa County; Arizona","75854","15107",
"1400000US04013092713","Census Tract 927.13; Maricopa County; Arizona","74091","25438",
"1400000US04013092715","Census Tract 927.15; Maricopa County; Arizona","71185","3656",
"1400000US04013092716","Census Tract 927.16; Maricopa County; Arizona","72717","20678",
"1400000US04013092717","Census Tract 927.17; Maricopa County; Arizona","49257","13124",
"1400000US04013092718","Census Tract 927.18; Maricopa County; Arizona","53417","17138",
"1400000US04013092719","Census Tract 927.19; Maricopa County; Arizona","70494","9468",
"1400000US04013092720","Census Tract 927.20; Maricopa County; Arizona","75982","8320",
"1400000US04013092721","Census Tract 927.21; Maricopa County; Arizona","135208","12097",
"1400000US04013092723","Census Tract 927.23; Maricopa County; Arizona","78036","7638",
"1400000US04013092724","Census Tract 927.24; Maricopa County; Arizona","56080","8853",
"1400000US04013092801","Census Tract 928.01; Maricopa County; Arizona","55102","6395",
"1400000US04013092802","Census Tract 928.02; Maricopa County; Arizona","43125","14299",
"1400000US04013092900","Census Tract 929; Maricopa County; Arizona","38833","11121",
"1400000US04013093001","Census Tract 930.01; Maricopa County; Arizona","46452","11748",
"1400000US04013093002","Census Tract 930.02; Maricopa County; Arizona","65711","28054",
"1400000US04013093101","Census Tract 931.01; Maricopa County; Arizona","47083","12956",
"1400000US04013093104","Census Tract 931.04; Maricopa County; Arizona","46230","7334",
"1400000US04013093105","Census Tract 931.05; Maricopa County; Arizona","43944","16165",
"1400000US04013093106","Census Tract 931.06; Maricopa County; Arizona","43692","12411",
"1400000US04013093200","Census Tract 932; Maricopa County; Arizona","52625","5505",
"1400000US04013103205","Census Tract 1032.05; Maricopa County; Arizona","110000","14993",
"1400000US04013103206","Census Tract 1032.06; Maricopa County; Arizona","144063","20043",
"1400000US04013103207","Census Tract 1032.07; Maricopa County; Arizona","168125","23850",
"1400000US04013103208","Census Tract 1032.08; Maricopa County; Arizona","70417","11900",
"1400000US04013103209","Census Tract 1032.09; Maricopa County; Arizona","120227","26567",
"1400000US04013103210","Census Tract 1032.10; Maricopa County; Arizona","70139","10643",
"1400000US04013103211","Census Tract 1032.11; Maricopa County; Arizona","117819","13189",
"1400000US04013103212","Census Tract 1032.12; Maricopa County; Arizona","114565","22484",
"1400000US04013103214","Census Tract 1032.14; Maricopa County; Arizona","130045","34656",
"1400000US04013103215","Census Tract 1032.15; Maricopa County; Arizona","136136","21136",
"1400000US04013103216","Census Tract 1032.16; Maricopa County; Arizona","102143","34075",
"1400000US04013103217","Census Tract 1032.17; Maricopa County; Arizona","100808","33615",
"1400000US04013103219","Census Tract 1032.19; Maricopa County; Arizona","99466","19702",
"1400000US04013103220","Census Tract 1032.20; Maricopa County; Arizona","99167","26100",
"1400000US04013103302","Census Tract 1033.02; Maricopa County; Arizona","80764","27060",
"1400000US04013103303","Census Tract 1033.03; Maricopa County; Arizona","82188","18100",
"1400000US04013103304","Census Tract 1033.04; Maricopa County; Arizona","48944","6353",
"1400000US04013103305","Census Tract 1033.05; Maricopa County; Arizona","46648","9490",
"1400000US04013103306","Census Tract 1033.06; Maricopa County; Arizona","40994","4190",
"1400000US04013103400","Census Tract 1034; Maricopa County; Arizona","68114","19964",
"1400000US04013103501","Census Tract 1035.01; Maricopa County; Arizona","86765","18888",
"1400000US04013103502","Census Tract 1035.02; Maricopa County; Arizona","90646","6779",
"1400000US04013103604","Census Tract 1036.04; Maricopa County; Arizona","79516","18656",
"1400000US04013103605","Census Tract 1036.05; Maricopa County; Arizona","138611","15825",
