,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
8966,8967,278500,6/1/2021,"19220 N 47th Ave, Glendale, AZ, 85308",884.0,sqft,315.05,8453.0,sqft,2.0,1.0,19220 N 47th Ave,Glendale,85308,1,"19220 N 47TH AVE, GLENDALE, AZ, 85308",-112.1607588164348,33.66070369939132
8967,8968,278500,4/2/2021,"6237 W Jones Ave, Phoenix, AZ, 85043",1538.0,sqft,181.08,5250.0,sqft,4.0,2.0,6237 W Jones Ave,Phoenix,85043,1,"6237 W JONES AVE, PHOENIX, AZ, 85043",-112.1932452568808,33.411858121042826
8968,8969,279000,6/21/2021,"8910 W Fairmount Ave, Phoenix, AZ, 85037",1331.0,sqft,209.62,4003.0,sqft,3.0,2.0,8910 W Fairmount Ave,Phoenix,85037,1,"8910 W FAIRMOUNT AVE, PHOENIX, AZ, 85037",-112.25120904695046,33.491729739620496
8969,8970,279000,6/29/2021,"2725 E Corona Ave, Phoenix, AZ, 85040",1538.0,sqft,181.4,7472.0,sqft,,2.0,2725 E Corona Ave,Phoenix,85040,1,"2725 E CORONA AVE, PHOENIX, AZ, 85040",-112.02224449330527,33.40598675617366
8970,8971,279000,2/15/2024,"7712 S 22nd Ln, Phoenix, AZ, 85041",1672.0,sqft,166.87,10454.0,sqft,4.0,2.0,7712 S 22nd Ln,Phoenix,85041,1,"7712 S 22ND LN, PHOENIX, AZ, 85041",-112.10698572054292,33.37692787883606
8971,8972,279000,12/16/2021,"5126 W Fulton St, Phoenix, AZ, 85043",1184.0,sqft,235.64,2728.0,sqft,2.0,3.0,5126 W Fulton St,Phoenix,85043,1,"5126 W FULTON ST, PHOENIX, AZ, 85043",-112.17054653381393,33.41443421303711
8972,8973,279120,9/27/2021,"3132 W Saint Kateri Dr, Phoenix, AZ, 85041",1330.0,sqft,209.86,5930.0,sqft,3.0,2.0,3132 W Saint Kateri Dr,Phoenix,85041,1,"3132 W SAINT KATERI DR, PHOENIX, AZ, 85041",-112.12618947211593,33.38548018993714
8973,8974,279320,5/12/2021,"7816 W Globe Ave, Phoenix, AZ, 85043",1685.0,sqft,165.77,6228.0,sqft,,2.0,7816 W Globe Ave,Phoenix,85043,1,"7816 W GLOBE AVE, PHOENIX, AZ, 85043",-112.22856551823656,33.418540639481535
8974,8975,279500,6/18/2021,"7754 W Pipestone Pl, Phoenix, AZ, 85035",1537.0,sqft,181.85,2131.0,sqft,3.0,3.0,7754 W Pipestone Pl,Phoenix,85035,1,"7754 W PIPESTONE PL, PHOENIX, AZ, 85035",-112.22608741804447,33.472387235690235
8975,8976,279825,8/11/2021,"7745 W Florence Ave, Phoenix, AZ, 85043",1553.0,sqft,180.18,5438.0,sqft,,2.0,7745 W Florence Ave,Phoenix,85043,1,,,
8976,8977,279900,11/30/2021,"7644 W Meadowbrook Ave, Phoenix, AZ, 85033",867.0,sqft,322.84,6165.0,sqft,2.0,1.0,7644 W Meadowbrook Ave,Phoenix,85033,1,"7644 W MEADOWBROOK AVE, PHOENIX, AZ, 85033",-112.22388895829113,33.50283858912269
8977,8978,279900,5/10/2021,"1720 W Saint Catherine Ave, Phoenix, AZ, 85041",1347.0,sqft,207.8,7308.0,sqft,3.0,2.0,1720 W Saint Catherine Ave,Phoenix,85041,1,"1720 W SAINT CATHERINE AVE, PHOENIX, AZ, 85041",-112.09530875531198,33.388266158250076
8978,8979,279910,9/10/2021,"7749 W Florence Ave, Phoenix, AZ, 85043",1698.0,sqft,164.85,5438.0,sqft,,2.0,7749 W Florence Ave,Phoenix,85043,1,,,
8979,8980,279955,5/19/2021,"7826 W Miami St, Phoenix, AZ, 85043",1698.0,sqft,164.87,5693.0,sqft,,2.0,7826 W Miami St,Phoenix,85043,1,,,
