"1010","6510 N 3rd Ave, Phoenix, AZ, 85013","Match","Exact","6510 N 3RD AVE, PHOENIX, AZ, 85013","-112.07823582713206,33.53212651120293","624840029","L"
"1252","21220 N  23rd Ave, Phoenix, AZ, 85027","Match","Exact","21220 N 23RD AVE, PHOENIX, AZ, 85027","-112.10870513489942,33.67966850358846","128179041","R"
"1251","307 W Mariposa St, Phoenix, AZ, 85013","Match","Exact","307 W MARIPOSA ST, PHOENIX, AZ, 85013","-112.07824716772757,33.508342673833","128206163","L"
"1250","2019 E  Turney Ave R, Phoenix, AZ, 85016","Match","Non_Exact","2019 E TURNEY AVE, PHOENIX, AZ, 85016","-112.03844127093441,33.50014624875462","128209839","R"
"1008","7009 E Acoma Dr, Scottsdale, AZ, 85254","Match","Exact","7009 E ACOMA DR, SCOTTSDALE, AZ, 85254","-111.93066789479889,33.61896971375387","128603871","R"
"1007","3633 N 3rd Ave, Phoenix, AZ, 85013","Match","Exact","3633 N 3RD AVE, PHOENIX, AZ, 85013","-112.07815678913431,33.48982293509755","128206338","R"
"1249","1627 N 51st St, Phoenix, AZ, 85008","Match","Exact","1627 N 51ST ST, PHOENIX, AZ, 85008","-111.97197902794261,33.46590715112512","652693809","R"
"1006","23700 N  23rd Ave  Unit 75, Phoenix, AZ, 85085","Match","Exact","23700 N 23RD AVE, PHOENIX, AZ, 85085","-112.10878633084405,33.700624962030076","650536860","R"
"1248","5740 N 10th St, Phoenix, AZ, 85014","Match","Exact","5740 N 10TH ST, PHOENIX, AZ, 85014","-112.06069120466469,33.5213171679938","128266516","L"
"1005","21021 N  56th St, Phoenix, AZ, 85054","Match","Exact","21021 N 56TH ST, PHOENIX, AZ, 85054","-111.95990006196587,33.676580575218736","640951206","R"
"1247","3346 W Harmont Dr, Phoenix, AZ, 85051","Match","Exact","3346 W HARMONT DR, PHOENIX, AZ, 85051","-112.1315859974676,33.55558072559353","128397191","R"
"1004","3601 N  Central Ave, Phoenix, AZ, 85012","Match","Exact","3601 N CENTRAL AVE, PHOENIX, AZ, 85012","-112.07371627720585,33.48973617298037","128208783","R"
"1246","2012 W Orangewood Ave, Phoenix, AZ, 85021","Match","Exact","2012 W ORANGEWOOD AVE, PHOENIX, AZ, 85021","-112.1020536590334,33.54591809457088","128203173","R"
"1003","1700 E  Baseline Rd, Phoenix, AZ, 85042","No_Match"
"1245","110 W Maryland Ave, Phoenix, AZ, 85013","Match","Exact","110 W MARYLAND AVE, PHOENIX, AZ, 85013","-112.07639855534865,33.53110916748432","648240801","R"
"820","2802 E Camino Acequia Dr, Phoenix, AZ, 85016","Match","Exact","2802 E CAMINO ACEQUIA DR, PHOENIX, AZ, 85016","-112.01917244468916,33.52319980178828","641520529","R"
"1002","1635 E Oak St, Phoenix, AZ, 85006","Match","Exact","1635 E OAK ST, PHOENIX, AZ, 85006","-112.04687544772622,33.472854582481716","128214149","R"
"1244","6530 N 12th St, Phoenix, AZ, 85014","Match","Exact","6530 N 12TH ST, PHOENIX, AZ, 85014","-112.05633033536492,33.53218047963122","128302160","L"
"821","7140 E  Kierland Blvd, Scottsdale, AZ, 85254","No_Match"
"1001","4502 E  Indian School Rd, Phoenix, AZ, 85018","Match","Exact","4502 E INDIAN SCHOOL RD, PHOENIX, AZ, 85018","-111.98410394314544,33.49485418267557","128220557","L"
"1243","1249 W Pierce St, Phoenix, AZ, 85007","Match","Exact","1249 W PIERCE ST, PHOENIX, AZ, 85007","-112.0896172766947,33.455952587020704","128211574","L"
"822","5136 N 31st Pl, Phoenix, AZ, 85016","Match","Exact","5136 N 31ST PL, PHOENIX, AZ, 85016","-112.01662291437054,33.51198713413896","128219089","R"
"823","8 Biltmore Ests, Phoenix, AZ, 85016","Match","Non_Exact","8 BILTMORE ESTATES DR, PHOENIX, AZ, 85016","-112.01803266431222,33.52023244561377","652694175","L"
"824","7120 E Kierland Blvd, Scottsdale, AZ, 85254","No_Match"
"825","44 W  Monroe St, Phoenix, AZ, 85003","Match","Exact","44 W MONROE ST, PHOENIX, AZ, 85003","-112.07439206962948,33.45041117972255","128213449","R"
"826","208 W Portland St, Phoenix, AZ, 85003","Match","Exact","208 W PORTLAND ST, PHOENIX, AZ, 85003","-112.07731993726759,33.460009177222446","128843493","R"
"827","4808 N  24th St Unit 908, Phoenix, AZ, 85016","Match","Exact","4808 N 24TH ST, PHOENIX, AZ, 85016","-112.0303027008083,33.507700168256974","128919145","L"
"828","21320 N  56th St Unit 2030, Phoenix, AZ, 85054","Match","Exact","21320 N 56TH ST, PHOENIX, AZ, 85054","-111.96022726994033,33.67768479795865","650136166","R"
"829","15221 N  Clubgate Dr Unit 2030, Scottsdale, AZ, 85254","No_Match"
"1009","1626 E Palm Ln, Phoenix, AZ, 85006","Match","Exact","1626 E PALM LN, PHOENIX, AZ, 85006","-112.04705324368916,33.46942997625541","128214265","L"
"1022","4246 N 31st Pl, Phoenix, AZ, 85016","Match","Exact","4246 N 31ST PL, PHOENIX, AZ, 85016","-112.01474327938013,33.49848759632073","128219392","L"
"1264","928 W  McDowell Rd, Phoenix, AZ, 85007","Match","Exact","928 W MCDOWELL RD, PHOENIX, AZ, 85007","-112.0852418508598,33.46587356387499","128211336","R"
"1021","2201 N Central Ave, Phoenix, AZ, 85004","Match","Exact","2201 N CENTRAL AVE, PHOENIX, AZ, 85004","-112.07371156573367,33.47185298544832","128212936","R"
"1263","4750 N Central Ave, Phoenix, AZ, 85012","Match","Exact","4750 N CENTRAL AVE, PHOENIX, AZ, 85012","-112.0738263994404,33.50574741280093","128208659","L"
"1020","4713 E  Van Buren St, Phoenix, AZ, 85008","Match","Exact","4713 E VAN BUREN ST, PHOENIX, AZ, 85008","-111.98054971505599,33.451073551728314","128581141","R"
"1262","1411 E Orangewood Ave, Phoenix, AZ, 85020","Match","Exact","1411 E ORANGEWOOD AVE, PHOENIX, AZ, 85020","-112.05182499737236,33.54541257284848","639301242","R"
"1261","502 W Yukon Dr, Phoenix, AZ, 85027","Match","Exact","502 W YUKON DR, PHOENIX, AZ, 85027","-112.08062727378365,33.67118986114184","128179975","L"
"1260","712 W Taylor St, Phoenix, AZ, 85007","Match","Exact","712 W TAYLOR ST, PHOENIX, AZ, 85007","-112.08289085142798,33.45430055421309","128211830","R"
