Unique ID,Street address,City,State,Zip
283,362 E  Monte Vista St   fbdb38,Phoenix,AZ,85004
284,2233 N  36th St   a59a,Phoenix,AZ,85008
285,345 W  Pasadena Ave,Phoenix,AZ,85013
286,10851 N  43rd Ave,Phoenix,AZ,85029
287,1814 W Carol Ave APT A,Phoenix,AZ,85021
288,4520 E  Baseline Rd,Phoenix,AZ,85042
289,1333 N  24th St,Phoenix,AZ,85008
290,3915 E  Camelback Rd,Phoenix,AZ,85018
291,8245 N  27th Ave,Phoenix,AZ,85051
292,4201 W Lamar Rd,Phoenix,AZ,85019
293,15434 N  32nd St,Phoenix,AZ,85032
294,355 N  Central Ave,Phoenix,AZ,85004
295,2636 N  41st Ave  eca96,Phoenix,AZ,85009
296,2323 W  Dunlap Ave,Phoenix,AZ,85021
297,19940 N  23rd Ave,Phoenix,AZ,85027
298,6405 W  McDowell Rd,Phoenix,AZ,85035
299,2662 N 43rd Ave,Phoenix,AZ,85009
300,4401 N 23rd Ave,Phoenix,AZ,85015
301,1614 W Purdue Ave,Phoenix,AZ,85021
302,1350 E  Northern Ave,Phoenix,AZ,85020
303,2645 E  Cactus Rd,Phoenix,AZ,85032
304,3040 E  Shea Blvd,Phoenix,AZ,85028
305,355 W Tonto St,Phoenix,AZ,85003
306,2747 E Chipman Rd,Phoenix,AZ,85040
307,2922 N 35th St,Phoenix,AZ,85018
308,1019 W Woodland Ave,Phoenix,AZ,85007
309,4332 N  21st St,Phoenix,AZ,85016
310,1810 N 16th St,Phoenix,AZ,85006
311,6131 N  16th St   ac6e2dbb,Phoenix,AZ,85016
312,2015 W  Cactus Rd,Phoenix,AZ,85029
313,3219 E  Earll Dr,Phoenix,AZ,85018
314,3413 E Earll Dr,Phoenix,AZ,85018
315,1313 E Carol Ave,Phoenix,AZ,85020
316,17646 N  Cave Creek Rd   f148f,Phoenix,AZ,85032
317,12231 N  19th St,Phoenix,AZ,85022
318,645 W  Hazelwood St,Phoenix,AZ,85013
319,123 W Missouri Ave,Phoenix,AZ,85013
320,921 E Dunlap Ave,Phoenix,AZ,85020
321,1829 E  Morten Ave,Phoenix,AZ,85020
322,521 E Mariposa St,Phoenix,AZ,85012
323,1701 W Vogel Ave,Phoenix,AZ,85021
324,1502 E  Osborn Rd,Phoenix,AZ,85014
325,17602 N  Cave Creek Rd   aa9f5,Phoenix,AZ,85032
326,4728 N  15th St   faf088c3,Phoenix,AZ,85014
327,77 W  Coolidge St,Phoenix,AZ,85013
328,2929 W  Yorkshire Dr Unit 1070,Phoenix,AZ,85027
329,608 N 9th St,Phoenix,AZ,85006
330,,Phoenix,AZ,85003
331,3308 W Loma Ln,Phoenix,AZ,85051
332,3010 W  Yorkshire Dr   f6030f9c,Phoenix,AZ,85027
333,3623 N  5th Ave  2,Phoenix,AZ,85013
334,1321 W Sahuaro Dr,Phoenix,AZ,85029
335,1411 N 33rd St,Phoenix,AZ,85008
336,4225 N  12th St,Phoenix,AZ,85014
337,3131 N  Black Canyon Hwy,Phoenix,AZ,85015
338,3031 N  36th St,Phoenix,AZ,85018
339,3208 E Flower St,Phoenix,AZ,85018
340,626 N  5th Ave,Phoenix,AZ,85003
341,2133 W Turney Ave,Phoenix,AZ,85015
342,18416 N  Cave Creek Rd,Phoenix,AZ,85032
343,1233 W Pierce St,Phoenix,AZ,85007
344,1942 W  Berridge Ln,Phoenix,AZ,85015
345,9644 N 11th Ave,Phoenix,AZ,85021
346,1503 W  Missouri Ave,Phoenix,AZ,85015
347,4830 E Willetta St,Phoenix,AZ,85008
348,2602 N 46th St,Phoenix,AZ,85008
349,3511 E  Baseline Rd Unit 1026,Phoenix,AZ,85042
350,2617 E Campbell Ave,Phoenix,AZ,85016
351,2625 E  Indian School Rd Unit 115,Phoenix,AZ,85016
352,834 N  13th Ave,Phoenix,AZ,85007
353,17840 N  Black Canyon Hwy UCMXG,Phoenix,AZ,85053
354,1601 W  Missouri Ave  f1f43,Phoenix,AZ,85015
355,349 N  11th St,Phoenix,AZ,85006
356,4618 N 12th Pl,Phoenix,AZ,85014
357,2832 E Monte Cristo Ave,Phoenix,AZ,85032
358,2832 E Monte Cristo Ave,Phoenix,AZ,85032
359,4719 N 15th Ave,Phoenix,AZ,85015
360,4301 S  7th Ave,Phoenix,AZ,85041
361,1913 N 25th Pl APT C,Phoenix,AZ,85008
362,510 E Hatcher Rd,Phoenix,AZ,85020
363,825 E Marlette Ave,Phoenix,AZ,85014
364,2202 E Taylor St,Phoenix,AZ,85006
365,2744 E Tierra Buena Ln,Phoenix,AZ,85032
366,1419 E Hatcher Rd,Phoenix,AZ,85020
367,1522 E Pierce St,Phoenix,AZ,85006
368,1146 E Diamond St,Phoenix,AZ,85006
369,2950 N 46th St,Phoenix,AZ,85018
370,4514 N  20th St,Phoenix,AZ,85016
371,3325 E Pinchot Ave,Phoenix,AZ,85018
372,1629 W Fillmore St,Phoenix,AZ,85007
373,2323 E  Flower St,Phoenix,AZ,85016
374,3201 N 36th St,Phoenix,AZ,85018
375,2525 Pearson St   b863d,Phoenix,AZ,85017
376,1934 E Fairmount Ave,Phoenix,AZ,85016
377,6217 N 12th St UNIT B,Phoenix,AZ,85014
378,3363 W Harmont Dr,Phoenix,AZ,85051
379,10648 N 15th Ave,Phoenix,AZ,85029
380,13635 N 23rd Ave,Phoenix,AZ,85029
381,2333 W Glenrosa Ave SUITE 117,Phoenix,AZ,85015
382,5019 N 22nd Ave,Phoenix,AZ,85015
383,610 N 4th Ave,Phoenix,AZ,85003
384,3245 W Jefferson St,Phoenix,AZ,85009
385,729 W Coolidge St,Phoenix,AZ,85013
386,2980 W Foothill Dr,Phoenix,AZ,85027
387,13235 N 21st Pl,Phoenix,AZ,85022
388,6902 E Chauncey Ln,Phoenix,AZ,85054
389,1321 W Vogel Ave,Phoenix,AZ,85021
390,1123 W Fillmore St,Phoenix,AZ,85007
391,,Phoenix,AZ,85020
392,408 W Earll Dr,Phoenix,AZ,85013
393,1632 E  Cambridge Ave,Phoenix,AZ,85006
394,3815 N  16th St   b99,Phoenix,AZ,85016
395,2414 W Devonshire Ave,Phoenix,AZ,85015
396,4025 N  40th St,Phoenix,AZ,85018
397,725 W Vogel Ave,Phoenix,AZ,85021
398,2420 W  Glenrosa Ave,Phoenix,AZ,85015
399,5112 N 28th Dr,Phoenix,AZ,85017
400,1510 E Pierce St,Phoenix,AZ,85006
401,5300 E  Washington St Unit 3408,Phoenix,AZ,85034
402,15202 N  40th St,Phoenix,AZ,85032
403,3816 N  83rd Ave,Phoenix,AZ,85033
404,411 E  Indian School Rd,Phoenix,AZ,85012
405,6025 W  Thomas Rd,Phoenix,AZ,85033
406,17239 N  19th Ave,Phoenix,AZ,85023
407,121 W  Portland St,Phoenix,AZ,85003
408,2220 E  Beardsley Rd,Phoenix,AZ,85024
409,1321 W Sahuaro Dr,Phoenix,AZ,85029
410,5615 N  7th St,Phoenix,AZ,85014
411,3633 N  6th Ave,Phoenix,AZ,85013
412,4225 E  McDowell Rd,Phoenix,AZ,85008
413,328 E Willetta St,Phoenix,AZ,85004
414,6202 N  16th St,Phoenix,AZ,85016
415,1013 W Indian School Rd APT B,Phoenix,AZ,85013
416,2843 E Monte Cristo Ave,Phoenix,AZ,85032
417,1827 W Tuckey Ln,Phoenix,AZ,85015
418,4308 N Longview Ave,Phoenix,AZ,85014
419,330 E  Pierce St,Phoenix,AZ,85004
420,17617 N  9th St,Phoenix,AZ,85022
421,8809 S  Pointe Pkwy E,Phoenix,AZ,85044
422,4820 N 89th Ave,Phoenix,AZ,85037
423,302 E  Monte Vista Rd,Phoenix,AZ,85004
424,1246 E Weldon Ave,Phoenix,AZ,85014
425,1509 W Pierce St,Phoenix,AZ,85007
426,1220 E Medlock Dr,Phoenix,AZ,85014
427,1819 E Sheridan St,Phoenix,AZ,85006
428,1921 E  Virginia Ave,Phoenix,AZ,85006
429,1702 W  Tuckey Ln Unit 232,Phoenix,AZ,85015
430,2726 E  Culver St -B,Phoenix,AZ,85008
431,18416 N Cave Creek Rd,Phoenix,AZ,85032
432,2228 N  52nd St Unit 107,Phoenix,AZ,85008
433,10802 N 16th Ave,Phoenix,AZ,85029
434,3415 E Earll Dr APT F,Phoenix,AZ,85018
435,2521 N  11th St,Phoenix,AZ,85006
436,1832 E  Harvard St,Phoenix,AZ,85006
437,633 N 6th Ave,Phoenix,AZ,85003
438,2532 N 49th St,Phoenix,AZ,85008
439,8241 N 34th Dr,Phoenix,AZ,85051
440,7557 N Dreamy Draw Dr,Phoenix,AZ,85020
441,1915 N 26th Pl,Phoenix,AZ,85008
442,1606 W Taylor St,Phoenix,AZ,85007
443,147 W McDowell Rd,Phoenix,AZ,85003
444,3320 W Northern Ave,Phoenix,AZ,85051
445,2006 N  51st St,Phoenix,AZ,85008
446,1041 E Whitton Ave,Phoenix,AZ,85014
447,120 W  Dobbins Rd,Phoenix,AZ,85041
448,2104 E Eugie Ter,Phoenix,AZ,85022
449,1904 E Maryland Ave,Phoenix,AZ,85016
450,3101 W  Melvin St,Phoenix,AZ,85009
451,818 N 39th Ave,Phoenix,AZ,85009
452,4444 E  Paradise Village Pkwy N  Unit 123,Phoenix,AZ,85032
453,1301 & 1307 E Vista Ave,Phoenix,AZ,85020
454,3029 E Paradise Ln,Phoenix,AZ,85032
455,20244 N  31st Ave,Phoenix,AZ,85027
456,14221 N  51st Ave  -R,Glendale,AZ,85306
457,2252 N  44th St,Phoenix,AZ,85008
458,4221 W  Dunlap Ave,Phoenix,AZ,85051
459,2020 W  Glendale Ave,Phoenix,AZ,85021
460,800 N  Central Ave,Phoenix,AZ,85004
461,2234 W  Hazelwood St,Phoenix,AZ,85015
462,1301 E  Mountain View Rd Unit 220,Phoenix,AZ,85020
463,16630 N  43rd Ave  cc34,Glendale,AZ,85306
464,7124 W Wolf St,Phoenix,AZ,85033
465,10610 S  48th St Unit 2047,Phoenix,AZ,85044
466,10839 N 15th Ave,Phoenix,AZ,85029
467,1108 S 33rd Ave,Phoenix,AZ,85009
468,1803 N 31st Pl,Phoenix,AZ,85008
469,3802 E  Baseline Rd,Phoenix,AZ,85042
470,111 N  Dupont Cir  Unit 305,Phoenix,AZ,85034
471,333 E  McKinley St,Phoenix,AZ,85004
472,3011 N 38th St,Phoenix,AZ,85018
473,1313 W Osborn Rd,Phoenix,AZ,85013
474,20401 N  19th Ave,Phoenix,AZ,85027
475,2034 W Cactus Rd UNIT D,Phoenix,AZ,85029
476,5401 E  Thomas Rd   Unit 1027,Phoenix,AZ,85018
477,1437 E Diamond St,Phoenix,AZ,85006
478,3875 W  Dobbins Rd,Laveen,AZ,85339
479,3002 E McKinley St,Phoenix,AZ,85008
480,3302 N  7th St Unit 305,Phoenix,AZ,85014
481,222 W  Clarendon Ave,Phoenix,AZ,85013
482,4950 E  Van Buren St,Phoenix,AZ,85008
483,11221 S  51st St,Phoenix,AZ,85044
484,1621 W  Denton Ln,Phoenix,AZ,85015
485,11025 S  51st St,Phoenix,AZ,85044
486,1545 W  Denton Ln,Phoenix,AZ,85015
487,34807 N  32nd Dr,Phoenix,AZ,85086
488,6515 W  McDowell Rd,Phoenix,AZ,85035
489,1640 W  Ocotillo Rd,Phoenix,AZ,85015
490,4312 N  12th St,Phoenix,AZ,85014
491,2530 N  3rd St,Phoenix,AZ,85004
492,3230 E Pinchot Ave,Phoenix,AZ,85018
493,18811 N  19th Ave,Phoenix,AZ,85027
494,5401 E  Van Buren St Unit 2055,Phoenix,AZ,85008
495,1822 N  32nd St,Phoenix,AZ,85008
496,602 N 16th St,Phoenix,AZ,85006
497,715 N 12th Ave,Phoenix,AZ,85007
498,320 W Earll Dr,Phoenix,AZ,85013
499,21 W Tonto St,Phoenix,AZ,85003
500,3001 N 22nd St,Phoenix,AZ,85016
501,10807 N 15th Ln,Phoenix,AZ,85029
502,3021 N 22nd St,Phoenix,AZ,85016
503,4120 N  21st St,Phoenix,AZ,85016
504,1102 W Cheryl Dr,Phoenix,AZ,85021
505,1826 N  51st St,Phoenix,AZ,85008
506,70 E Mitchell Dr,Phoenix,AZ,85012
507,1552 W Mercer Ln,Phoenix,AZ,85029
508,617 W Jones Ave,Phoenix,AZ,85041
509,4933 E Willetta St,Phoenix,AZ,85008
510,2939 N  36th St,Phoenix,AZ,85018
511,4405 N  103rd Ave  e4179ad4,Phoenix,AZ,85037
512,4446 N  36th St,Phoenix,AZ,85018
513,2730 E Belleview St,Phoenix,AZ,85008
514,321 W Pasadena Ave,Phoenix,AZ,85013
