Unique ID,Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC,Address,Match,Exact,Formatted Address,Coordinates,N,LR
651,https://www.zillow.com/homedetails/2612-E-Thomas-Rd-10-Phoenix-AZ-85016/347269049_zpid/,Apartment,1385.0,600.0,sqft,2.31,1.0,1.0,2612 E Thomas Rd,Phoenix,85016,AZ,USA,1.0,"2612 E Thomas Rd, Phoenix, AZ, 85016",Match,Exact,"2612 E THOMAS RD, PHOENIX, AZ, 85016","-112.02562875652171,33.480413615478085",639301586.0,L
652,https://www.zillow.com/apartments/phoenix-az/sierra-foothills/5XjqCb/,Building,,,,,,,13601 S  44th St,Phoenix,85044,AZ,USA,0.0,"13601 S  44th St, Phoenix, AZ, 85044",Match,Exact,"13601 S 44TH ST, PHOENIX, AZ, 85044","-111.9889637800315,33.323238315680385",243931323.0,R
653,https://www.zillow.com/b/dahle-hi-phoenix-az-9TV9S8/,Building,,,,,,,4331 N  26th St,Phoenix,85016,AZ,USA,1.0,"4331 N  26th St, Phoenix, AZ, 85016",Match,Exact,"4331 N 26TH ST, PHOENIX, AZ, 85016","-112.02580538355005,33.49959208937861",128219278.0,R
654,https://www.zillow.com/homedetails/3845-E-Greenway-Rd-UNIT-108-Phoenix-AZ-85032/68537318_zpid/,Apartment,1395.0,691.0,sqft,2.02,1.0,1.0,3845 E Greenway Rd,Phoenix,85032,AZ,USA,1.0,"3845 E Greenway Rd, Phoenix, AZ, 85032",Match,Exact,"3845 E GREENWAY RD, PHOENIX, AZ, 85032","-111.99933765359219,33.62632169987597",128186143.0,R
655,https://www.zillow.com/apartments/phoenix-az/the-markley/5Xm2x9/,Apartment,1395.0,780.0,sqft,1.79,1.0,1.0,4232 N 32nd St,Phoenix,85018,AZ,USA,1.0,"4232 N 32nd St, Phoenix, AZ, 85018",Match,Exact,"4232 N 32ND ST, PHOENIX, AZ, 85018","-112.01305419616801,33.49839657722589",128219566.0,L
656,https://www.zillow.com/homedetails/2417-E-Campbell-Ave-APT-12B-Phoenix-AZ-85016/2093978774_zpid/,Apartment,1395.0,675.0,sqft,2.07,1.0,1.0,2417 E Campbell Ave,Phoenix,85016,AZ,USA,1.0,"2417 E Campbell Ave, Phoenix, AZ, 85016",Match,Exact,"2417 E CAMPBELL AVE, PHOENIX, AZ, 85016","-112.02931952680058,33.502052593261",128209893.0,R
657,https://www.zillow.com/homedetails/3120-N-67th-Ln-APT-67-Phoenix-AZ-85033/7485487_zpid/,Apartment,1395.0,700.0,sqft,1.99,2.0,1.0,3120 N 67th Ln,Phoenix,85033,AZ,USA,1.0,"3120 N 67th Ln, Phoenix, AZ, 85033",Match,Exact,"3120 N 67TH LN, PHOENIX, AZ, 85033","-112.20496948492962,33.48377846737509",128842784.0,R
658,https://www.zillow.com/b/ruthgate-condominiums-phoenix-az-5Xk5w3/,Building,,,,,,,214 E  Ruth Ave Unit 209,Phoenix,85020,AZ,USA,1.0,"214 E  Ruth Ave Unit 209, Phoenix, AZ, 85020",Match,Exact,"214 E RUTH AVE, PHOENIX, AZ, 85020","-112.07085830553854,33.56319373299277",128206477.0,L
659,https://www.zillow.com/homedetails/234-E-Ruth-Ave-APT-6-Phoenix-AZ-85020/7794127_zpid/,Apartment,1395.0,700.0,sqft,1.99,2.0,1.0,234 E Ruth Ave,Phoenix,85020,AZ,USA,1.0,"234 E Ruth Ave, Phoenix, AZ, 85020",Match,Exact,"234 E RUTH AVE, PHOENIX, AZ, 85020","-112.07056771703645,33.56319585793938",128206477.0,L
660,https://www.zillow.com/homedetails/3415-N-11th-Ave-APT-1-Phoenix-AZ-85013/345389867_zpid/,Apartment,1395.0,800.0,sqft,1.74,2.0,1.0,3415 N 11th Ave,Phoenix,85013,AZ,USA,1.0,"3415 N 11th Ave, Phoenix, AZ, 85013",Match,Exact,"3415 N 11TH AVE, PHOENIX, AZ, 85013","-112.0868877763155,33.487944232286054",128206293.0,R
661,https://www.zillow.com/homedetails/1043-E-Butler-Dr-APT-D-Phoenix-AZ-85020/2083716657_zpid/,Apartment,1395.0,,,,2.0,1.0,1043 E Butler Dr APT D,Phoenix,85020,AZ,USA,1.0,"1043 E Butler Dr APT D, Phoenix, AZ, 85020",Match,Non_Exact,"1043 E BUTLER DR, PHOENIX, AZ, 85020","-112.05983324172678,33.56048757121681",128207220.0,R
